id	category	subcategory	runner	artifact	description
LANG-0065	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 6 / 2
LANG-0066	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 13 % 3
LANG-0067	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 22 / 4
LANG-0068	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 33 % 5
LANG-0069	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 46 / 6
LANG-0070	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 61 % 7
LANG-0071	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 78 / 8
LANG-0072	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 21 % 2
LANG-0073	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 35 / 3
LANG-0074	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 13 % 4
LANG-0075	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 20 / 5
LANG-0076	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 35 % 6
LANG-0077	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 47 / 7
LANG-0078	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 61 % 8
LANG-0079	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 16 / 2
LANG-0080	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 27 % 3
LANG-0081	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 40 / 4
LANG-0082	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 57 % 5
LANG-0083	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 18 / 6
LANG-0084	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 33 % 7
LANG-0085	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 44 / 8
LANG-0086	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 13 % 2
LANG-0087	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 22 / 3
LANG-0088	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 35 % 4
LANG-0089	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 49 / 5
LANG-0090	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 61 % 6
LANG-0091	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 82 / 7
LANG-0092	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 27 % 8
LANG-0093	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 8 / 2
LANG-0094	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 17 % 3
LANG-0095	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 26 / 4
LANG-0096	language-runtime	division-modulo	runtime-03	cases/runtime/runtime_03.CMOT	Integer expression 36 % 5
LANG-0097	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment +=
LANG-0098	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment -=
LANG-0099	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment *=
LANG-0100	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment /=
LANG-0101	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment %=
LANG-0102	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment &=
LANG-0103	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment |=
LANG-0104	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment ^=
LANG-0105	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment +=
LANG-0106	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment -=
LANG-0107	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment *=
LANG-0108	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment /=
LANG-0109	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment %=
LANG-0110	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment &=
LANG-0111	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment |=
LANG-0112	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment ^=
LANG-0113	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment +=
LANG-0114	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment -=
LANG-0115	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment *=
LANG-0116	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment /=
LANG-0117	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment %=
LANG-0118	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment &=
LANG-0119	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment |=
LANG-0120	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment ^=
LANG-0121	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment +=
LANG-0122	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment -=
LANG-0123	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment *=
LANG-0124	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment /=
LANG-0125	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment %=
LANG-0126	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment &=
LANG-0127	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment |=
LANG-0128	language-runtime	compound-assignment	runtime-04	cases/runtime/runtime_04.CMOT	Compound assignment ^=
LANG-0129	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0130	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0131	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0132	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0133	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0134	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0135	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0136	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0137	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0138	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0139	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0140	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0141	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0142	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0143	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0144	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0145	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0146	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0147	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0148	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0149	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0150	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0151	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0152	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0153	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0154	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0155	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0156	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0157	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0158	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0159	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix ++
LANG-0160	language-runtime	increment-decrement	runtime-05	cases/runtime/runtime_05.CMOT	Postfix --
LANG-0161	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 10 == 10
LANG-0162	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 11 != 12
LANG-0163	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 12 < 13
LANG-0164	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 13 > 12
LANG-0165	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 10 <= 10
LANG-0166	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 11 >= 11
LANG-0167	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 12 == 13
LANG-0168	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 13 != 13
LANG-0169	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 10 == 10
LANG-0170	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 11 != 12
LANG-0171	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 12 < 13
LANG-0172	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 13 > 12
LANG-0173	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 10 <= 10
LANG-0174	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 11 >= 11
LANG-0175	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 12 == 13
LANG-0176	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 13 != 13
LANG-0177	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 10 == 10
LANG-0178	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 11 != 12
LANG-0179	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 12 < 13
LANG-0180	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 13 > 12
LANG-0181	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 10 <= 10
LANG-0182	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 11 >= 11
LANG-0183	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 12 == 13
LANG-0184	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 13 != 13
LANG-0185	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 10 == 10
LANG-0186	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 11 != 12
LANG-0187	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 12 < 13
LANG-0188	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 13 > 12
LANG-0189	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 10 <= 10
LANG-0190	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 11 >= 11
LANG-0191	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 12 == 13
LANG-0192	language-runtime	comparisons	runtime-06	cases/runtime/runtime_06.CMOT	Comparison 13 != 13
LANG-0193	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression True && True
LANG-0194	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression False || True
LANG-0195	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression !False
LANG-0196	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression (3 > 5) ? 4 : 5
LANG-0197	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression True && True
LANG-0198	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression False || True
LANG-0199	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression !False
LANG-0200	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression (7 > 5) ? 8 : 9
LANG-0201	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression True && True
LANG-0202	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression False || True
LANG-0203	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression !False
LANG-0204	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression (11 > 5) ? 12 : 13
LANG-0205	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression True && True
LANG-0206	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression False || True
LANG-0207	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression !False
LANG-0208	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression (15 > 5) ? 16 : 17
LANG-0209	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression True && True
LANG-0210	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression False || True
LANG-0211	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression !False
LANG-0212	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression (19 > 5) ? 20 : 21
LANG-0213	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression True && True
LANG-0214	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression False || True
LANG-0215	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression !False
LANG-0216	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression (23 > 5) ? 24 : 25
LANG-0217	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression True && True
LANG-0218	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression False || True
LANG-0219	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression !False
LANG-0220	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression (27 > 5) ? 28 : 29
LANG-0221	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression True && True
LANG-0222	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression False || True
LANG-0223	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression !False
LANG-0224	language-runtime	logical-ternary	runtime-07	cases/runtime/runtime_07.CMOT	Logical/ternary expression (31 > 5) ? 32 : 33
LANG-0225	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 17 & 3
LANG-0226	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 18 | 4
LANG-0227	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 19 ^ 5
LANG-0228	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 20 & 6
LANG-0229	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 21 | 7
LANG-0230	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 22 ^ 8
LANG-0231	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 23 & 9
LANG-0232	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 24 | 10
LANG-0233	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 25 ^ 11
LANG-0234	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 26 & 12
LANG-0235	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 27 | 13
LANG-0236	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 28 ^ 3
LANG-0237	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 29 & 4
LANG-0238	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 30 | 5
LANG-0239	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 31 ^ 6
LANG-0240	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 32 & 7
LANG-0241	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 33 | 8
LANG-0242	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 34 ^ 9
LANG-0243	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 35 & 10
LANG-0244	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 36 | 11
LANG-0245	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 37 ^ 12
LANG-0246	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 38 & 13
LANG-0247	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 39 | 3
LANG-0248	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 40 ^ 4
LANG-0249	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 41 & 5
LANG-0250	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 42 | 6
LANG-0251	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 43 ^ 7
LANG-0252	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 44 & 8
LANG-0253	language-runtime	bitwise	runtime-08	cases/runtime/runtime_08.CMOT	Bitwise expression 45 | 9
